"Source descriptor","Target descriptor","Source_state","Target_state","Score_agreed","Conf_agreed","Panel_reasoning"
"Decarbonisation_Outcome","Permitting_Pace","High emissions","Medium","0","3","Outcome-to-permitting feedback: high emissions creates pressure for reform (supports Fast, hinders Slow); medium outcome weakly supports Medium/Fast; net-zero aligned allows complacency (supports Slow) or momentum (supports Fast); confidences moderate where direction contested."
"Decarbonisation_Outcome","Permitting_Pace","High emissions","Fast","2","4","Outcome-to-permitting feedback: high emissions creates pressure for reform (supports Fast, hinders Slow); medium outcome weakly supports Medium/Fast; net-zero aligned allows complacency (supports Slow) or momentum (supports Fast); confidences moderate where direction contested."
"Decarbonisation_Outcome","Permitting_Pace","Medium","Slow","-1","3","Outcome-to-permitting feedback: high emissions creates pressure for reform (supports Fast, hinders Slow); medium outcome weakly supports Medium/Fast; net-zero aligned allows complacency (supports Slow) or momentum (supports Fast); confidences moderate where direction contested."
"Decarbonisation_Outcome","Permitting_Pace","Medium","Medium","1","3","Outcome-to-permitting feedback: high emissions creates pressure for reform (supports Fast, hinders Slow); medium outcome weakly supports Medium/Fast; net-zero aligned allows complacency (supports Slow) or momentum (supports Fast); confidences moderate where direction contested."
"Decarbonisation_Outcome","Permitting_Pace","Medium","Fast","1","3","Outcome-to-permitting feedback: high emissions creates pressure for reform (supports Fast, hinders Slow); medium outcome weakly supports Medium/Fast; net-zero aligned allows complacency (supports Slow) or momentum (supports Fast); confidences moderate where direction contested."
"Decarbonisation_Outcome","Permitting_Pace","Net-zero aligned","Slow","1","3","Outcome-to-permitting feedback: high emissions creates pressure for reform (supports Fast, hinders Slow); medium outcome weakly supports Medium/Fast; net-zero aligned allows complacency (supports Slow) or momentum (supports Fast); confidences moderate where direction contested."
"Decarbonisation_Outcome","Permitting_Pace","Net-zero aligned","Medium","0","2","Outcome-to-permitting feedback: high emissions creates pressure for reform (supports Fast, hinders Slow); medium outcome weakly supports Medium/Fast; net-zero aligned allows complacency (supports Slow) or momentum (supports Fast); confidences moderate where direction contested."
"Decarbonisation_Outcome","Permitting_Pace","Net-zero aligned","Fast","1","3","Outcome-to-permitting feedback: high emissions creates pressure for reform (supports Fast, hinders Slow); medium outcome weakly supports Medium/Fast; net-zero aligned allows complacency (supports Slow) or momentum (supports Fast); confidences moderate where direction contested."
"Decarbonisation_Outcome","Renewables_Deployment","High emissions","Low","-2","4","Outcome-to-deployment feedback: high emissions hinder Low and support Medium/High; medium outcome supports Medium and somewhat High and hinders Low; net-zero aligned strongly supports High and hinders Low/Medium; confidences higher where direction is uncontested (3.1, 3.3)."
"Decarbonisation_Outcome","Renewables_Deployment","High emissions","Medium","1","4","Outcome-to-deployment feedback: high emissions hinder Low and support Medium/High; medium outcome supports Medium and somewhat High and hinders Low; net-zero aligned strongly supports High and hinders Low/Medium; confidences higher where direction is uncontested (3.1, 3.3)."
"Decarbonisation_Outcome","Renewables_Deployment","High emissions","High","2","4","Outcome-to-deployment feedback: high emissions hinder Low and support Medium/High; medium outcome supports Medium and somewhat High and hinders Low; net-zero aligned strongly supports High and hinders Low/Medium; confidences higher where direction is uncontested (3.1, 3.3)."
"Decarbonisation_Outcome","Renewables_Deployment","Medium","Low","-1","3","Outcome-to-deployment feedback: high emissions hinder Low and support Medium/High; medium outcome supports Medium and somewhat High and hinders Low; net-zero aligned strongly supports High and hinders Low/Medium; confidences higher where direction is uncontested (3.1, 3.3)."
"Decarbonisation_Outcome","Renewables_Deployment","Medium","Medium","2","4","Outcome-to-deployment feedback: high emissions hinder Low and support Medium/High; medium outcome supports Medium and somewhat High and hinders Low; net-zero aligned strongly supports High and hinders Low/Medium; confidences higher where direction is uncontested (3.1, 3.3)."
"Decarbonisation_Outcome","Renewables_Deployment","Medium","High","1","3","Outcome-to-deployment feedback: high emissions hinder Low and support Medium/High; medium outcome supports Medium and somewhat High and hinders Low; net-zero aligned strongly supports High and hinders Low/Medium; confidences higher where direction is uncontested (3.1, 3.3)."
"Decarbonisation_Outcome","Renewables_Deployment","Net-zero aligned","Low","-3","5","Outcome-to-deployment feedback: high emissions hinder Low and support Medium/High; medium outcome supports Medium and somewhat High and hinders Low; net-zero aligned strongly supports High and hinders Low/Medium; confidences higher where direction is uncontested (3.1, 3.3)."
"Decarbonisation_Outcome","Renewables_Deployment","Net-zero aligned","Medium","-1","3","Outcome-to-deployment feedback: high emissions hinder Low and support Medium/High; medium outcome supports Medium and somewhat High and hinders Low; net-zero aligned strongly supports High and hinders Low/Medium; confidences higher where direction is uncontested (3.1, 3.3)."
"Decarbonisation_Outcome","Renewables_Deployment","Net-zero aligned","High","3","5","Outcome-to-deployment feedback: high emissions hinder Low and support Medium/High; medium outcome supports Medium and somewhat High and hinders Low; net-zero aligned strongly supports High and hinders Low/Medium; confidences higher where direction is uncontested (3.1, 3.3)."
"Decarbonisation_Outcome","Technology_Costs","High emissions","High","2","4","Decarbonisation outcome proxies deployment; deployment drives learning and scale so high emissions support high technology costs and net-zero aligned supports low costs; diagonal and opposite corners scored with confidence 4, off-diagonal with 3."
"Decarbonisation_Outcome","Technology_Costs","High emissions","Medium","1","3","Decarbonisation outcome proxies deployment; deployment drives learning and scale so high emissions support high technology costs and net-zero aligned supports low costs; diagonal and opposite corners scored with confidence 4, off-diagonal with 3."
"Decarbonisation_Outcome","Technology_Costs","High emissions","Low","-2","4","Decarbonisation outcome proxies deployment; deployment drives learning and scale so high emissions support high technology costs and net-zero aligned supports low costs; diagonal and opposite corners scored with confidence 4, off-diagonal with 3."
"Decarbonisation_Outcome","Technology_Costs","Medium","High","0","3","Decarbonisation outcome proxies deployment; deployment drives learning and scale so high emissions support high technology costs and net-zero aligned supports low costs; diagonal and opposite corners scored with confidence 4, off-diagonal with 3."
"Decarbonisation_Outcome","Technology_Costs","Medium","Medium","0","3","Decarbonisation outcome proxies deployment; deployment drives learning and scale so high emissions support high technology costs and net-zero aligned supports low costs; diagonal and opposite corners scored with confidence 4, off-diagonal with 3."
"Decarbonisation_Outcome","Technology_Costs","Medium","Low","1","3","Decarbonisation outcome proxies deployment; deployment drives learning and scale so high emissions support high technology costs and net-zero aligned supports low costs; diagonal and opposite corners scored with confidence 4, off-diagonal with 3."
"Decarbonisation_Outcome","Technology_Costs","Net-zero aligned","High","-2","4","Decarbonisation outcome proxies deployment; deployment drives learning and scale so high emissions support high technology costs and net-zero aligned supports low costs; diagonal and opposite corners scored with confidence 4, off-diagonal with 3."
"Decarbonisation_Outcome","Technology_Costs","Net-zero aligned","Medium","-1","3","Decarbonisation outcome proxies deployment; deployment drives learning and scale so high emissions support high technology costs and net-zero aligned supports low costs; diagonal and opposite corners scored with confidence 4, off-diagonal with 3."
"Decarbonisation_Outcome","Technology_Costs","Net-zero aligned","Low","2","4","Decarbonisation outcome proxies deployment; deployment drives learning and scale so high emissions support high technology costs and net-zero aligned supports low costs; diagonal and opposite corners scored with confidence 4, off-diagonal with 3."
"Decarbonisation_Outcome","Hydrogen_Role","High emissions","Limited","2","4","Outcome–role consistency: high emissions supports limited and hinders moderate/major hydrogen; medium outcome neutral for limited, supports moderate/major; net-zero aligned hinders limited and supports moderate and major hydrogen; confidences 3–4."
"Decarbonisation_Outcome","Hydrogen_Role","High emissions","Moderate","-2","4","Outcome–role consistency: high emissions supports limited and hinders moderate/major hydrogen; medium outcome neutral for limited, supports moderate/major; net-zero aligned hinders limited and supports moderate and major hydrogen; confidences 3–4."
"Decarbonisation_Outcome","Hydrogen_Role","High emissions","Major","-3","4","Outcome–role consistency: high emissions supports limited and hinders moderate/major hydrogen; medium outcome neutral for limited, supports moderate/major; net-zero aligned hinders limited and supports moderate and major hydrogen; confidences 3–4."
"Decarbonisation_Outcome","Hydrogen_Role","Medium","Limited","0","3","Outcome–role consistency: high emissions supports limited and hinders moderate/major hydrogen; medium outcome neutral for limited, supports moderate/major; net-zero aligned hinders limited and supports moderate and major hydrogen; confidences 3–4."
"Decarbonisation_Outcome","Hydrogen_Role","Medium","Moderate","1","3","Outcome–role consistency: high emissions supports limited and hinders moderate/major hydrogen; medium outcome neutral for limited, supports moderate/major; net-zero aligned hinders limited and supports moderate and major hydrogen; confidences 3–4."
"Decarbonisation_Outcome","Hydrogen_Role","Medium","Major","1","3","Outcome–role consistency: high emissions supports limited and hinders moderate/major hydrogen; medium outcome neutral for limited, supports moderate/major; net-zero aligned hinders limited and supports moderate and major hydrogen; confidences 3–4."
"Decarbonisation_Outcome","Hydrogen_Role","Net-zero aligned","Limited","-2","4","Outcome–role consistency: high emissions supports limited and hinders moderate/major hydrogen; medium outcome neutral for limited, supports moderate/major; net-zero aligned hinders limited and supports moderate and major hydrogen; confidences 3–4."
"Decarbonisation_Outcome","Hydrogen_Role","Net-zero aligned","Moderate","2","4","Outcome–role consistency: high emissions supports limited and hinders moderate/major hydrogen; medium outcome neutral for limited, supports moderate/major; net-zero aligned hinders limited and supports moderate and major hydrogen; confidences 3–4."
"Decarbonisation_Outcome","Hydrogen_Role","Net-zero aligned","Major","2","4","Outcome–role consistency: high emissions supports limited and hinders moderate/major hydrogen; medium outcome neutral for limited, supports moderate/major; net-zero aligned hinders limited and supports moderate and major hydrogen; confidences 3–4."
"Decarbonisation_Outcome","Grid_Development","High emissions","Lagging","2","4","Outcome–grid consistency: high emissions supports lagging grid and hinders strong; net-zero aligned supports strong grid and hinders lagging; medium outcome supports moderate grid and weakly supports strong; confidence 3–4."
"Decarbonisation_Outcome","Grid_Development","High emissions","Moderate","0","3","Outcome–grid consistency: high emissions supports lagging grid and hinders strong; net-zero aligned supports strong grid and hinders lagging; medium outcome supports moderate grid and weakly supports strong; confidence 3–4."
"Decarbonisation_Outcome","Grid_Development","High emissions","Strong","-2","4","Outcome–grid consistency: high emissions supports lagging grid and hinders strong; net-zero aligned supports strong grid and hinders lagging; medium outcome supports moderate grid and weakly supports strong; confidence 3–4."
"Decarbonisation_Outcome","Grid_Development","Medium","Lagging","-1","3","Outcome–grid consistency: high emissions supports lagging grid and hinders strong; net-zero aligned supports strong grid and hinders lagging; medium outcome supports moderate grid and weakly supports strong; confidence 3–4."
"Decarbonisation_Outcome","Grid_Development","Medium","Moderate","2","4","Outcome–grid consistency: high emissions supports lagging grid and hinders strong; net-zero aligned supports strong grid and hinders lagging; medium outcome supports moderate grid and weakly supports strong; confidence 3–4."
"Decarbonisation_Outcome","Grid_Development","Medium","Strong","1","3","Outcome–grid consistency: high emissions supports lagging grid and hinders strong; net-zero aligned supports strong grid and hinders lagging; medium outcome supports moderate grid and weakly supports strong; confidence 3–4."
"Decarbonisation_Outcome","Grid_Development","Net-zero aligned","Lagging","-2","4","Outcome–grid consistency: high emissions supports lagging grid and hinders strong; net-zero aligned supports strong grid and hinders lagging; medium outcome supports moderate grid and weakly supports strong; confidence 3–4."
"Decarbonisation_Outcome","Grid_Development","Net-zero aligned","Moderate","0","3","Outcome–grid consistency: high emissions supports lagging grid and hinders strong; net-zero aligned supports strong grid and hinders lagging; medium outcome supports moderate grid and weakly supports strong; confidence 3–4."
"Decarbonisation_Outcome","Grid_Development","Net-zero aligned","Strong","2","4","Outcome–grid consistency: high emissions supports lagging grid and hinders strong; net-zero aligned supports strong grid and hinders lagging; medium outcome supports moderate grid and weakly supports strong; confidence 3–4."
"Decarbonisation_Outcome","Electrification_Pace","High emissions","Slow","2","4","Outcome-to-electrification feedback and consistency: high emissions supports slow electrification and hinders high (lock-in); medium outcome supports medium pace and weakly high; net-zero aligned strongly hinders slow and supports high electrification; confidences highest where link is definitional (3.1, 3.3) or well evidenced (1.1, 1.3)."
"Decarbonisation_Outcome","Electrification_Pace","High emissions","Medium","0","3","Outcome-to-electrification feedback and consistency: high emissions supports slow electrification and hinders high (lock-in); medium outcome supports medium pace and weakly high; net-zero aligned strongly hinders slow and supports high electrification; confidences highest where link is definitional (3.1, 3.3) or well evidenced (1.1, 1.3)."
"Decarbonisation_Outcome","Electrification_Pace","High emissions","High","-2","4","Outcome-to-electrification feedback and consistency: high emissions supports slow electrification and hinders high (lock-in); medium outcome supports medium pace and weakly high; net-zero aligned strongly hinders slow and supports high electrification; confidences highest where link is definitional (3.1, 3.3) or well evidenced (1.1, 1.3)."
"Decarbonisation_Outcome","Electrification_Pace","Medium","Slow","0","3","Outcome-to-electrification feedback and consistency: high emissions supports slow electrification and hinders high (lock-in); medium outcome supports medium pace and weakly high; net-zero aligned strongly hinders slow and supports high electrification; confidences highest where link is definitional (3.1, 3.3) or well evidenced (1.1, 1.3)."
"Decarbonisation_Outcome","Electrification_Pace","Medium","Medium","2","4","Outcome-to-electrification feedback and consistency: high emissions supports slow electrification and hinders high (lock-in); medium outcome supports medium pace and weakly high; net-zero aligned strongly hinders slow and supports high electrification; confidences highest where link is definitional (3.1, 3.3) or well evidenced (1.1, 1.3)."
"Decarbonisation_Outcome","Electrification_Pace","Medium","High","1","3","Outcome-to-electrification feedback and consistency: high emissions supports slow electrification and hinders high (lock-in); medium outcome supports medium pace and weakly high; net-zero aligned strongly hinders slow and supports high electrification; confidences highest where link is definitional (3.1, 3.3) or well evidenced (1.1, 1.3)."
"Decarbonisation_Outcome","Electrification_Pace","Net-zero aligned","Slow","-3","5","Outcome-to-electrification feedback and consistency: high emissions supports slow electrification and hinders high (lock-in); medium outcome supports medium pace and weakly high; net-zero aligned strongly hinders slow and supports high electrification; confidences highest where link is definitional (3.1, 3.3) or well evidenced (1.1, 1.3)."
"Decarbonisation_Outcome","Electrification_Pace","Net-zero aligned","Medium","-1","4","Outcome-to-electrification feedback and consistency: high emissions supports slow electrification and hinders high (lock-in); medium outcome supports medium pace and weakly high; net-zero aligned strongly hinders slow and supports high electrification; confidences highest where link is definitional (3.1, 3.3) or well evidenced (1.1, 1.3)."
"Decarbonisation_Outcome","Electrification_Pace","Net-zero aligned","High","3","5","Outcome-to-electrification feedback and consistency: high emissions supports slow electrification and hinders high (lock-in); medium outcome supports medium pace and weakly high; net-zero aligned strongly hinders slow and supports high electrification; confidences highest where link is definitional (3.1, 3.3) or well evidenced (1.1, 1.3)."
"Decarbonisation_Outcome","Industrial_Energy_Demand","High emissions","High","2","4","Outcome–demand consistency: high emissions supports High and hinders Low industrial demand; net-zero aligned hinders High and supports Low; Medium outcome aligns with Medium and weakly supports Low; confidences highest on diagonal and strong anti-consistency (3.1, 1.3)."
"Decarbonisation_Outcome","Industrial_Energy_Demand","High emissions","Medium","-1","3","Outcome–demand consistency: high emissions supports High and hinders Low industrial demand; net-zero aligned hinders High and supports Low; Medium outcome aligns with Medium and weakly supports Low; confidences highest on diagonal and strong anti-consistency (3.1, 1.3)."
"Decarbonisation_Outcome","Industrial_Energy_Demand","High emissions","Low","-2","4","Outcome–demand consistency: high emissions supports High and hinders Low industrial demand; net-zero aligned hinders High and supports Low; Medium outcome aligns with Medium and weakly supports Low; confidences highest on diagonal and strong anti-consistency (3.1, 1.3)."
"Decarbonisation_Outcome","Industrial_Energy_Demand","Medium","High","-1","3","Outcome–demand consistency: high emissions supports High and hinders Low industrial demand; net-zero aligned hinders High and supports Low; Medium outcome aligns with Medium and weakly supports Low; confidences highest on diagonal and strong anti-consistency (3.1, 1.3)."
"Decarbonisation_Outcome","Industrial_Energy_Demand","Medium","Medium","2","4","Outcome–demand consistency: high emissions supports High and hinders Low industrial demand; net-zero aligned hinders High and supports Low; Medium outcome aligns with Medium and weakly supports Low; confidences highest on diagonal and strong anti-consistency (3.1, 1.3)."
"Decarbonisation_Outcome","Industrial_Energy_Demand","Medium","Low","1","3","Outcome–demand consistency: high emissions supports High and hinders Low industrial demand; net-zero aligned hinders High and supports Low; Medium outcome aligns with Medium and weakly supports Low; confidences highest on diagonal and strong anti-consistency (3.1, 1.3)."
"Decarbonisation_Outcome","Industrial_Energy_Demand","Net-zero aligned","High","-3","5","Outcome–demand consistency: high emissions supports High and hinders Low industrial demand; net-zero aligned hinders High and supports Low; Medium outcome aligns with Medium and weakly supports Low; confidences highest on diagonal and strong anti-consistency (3.1, 1.3)."
"Decarbonisation_Outcome","Industrial_Energy_Demand","Net-zero aligned","Medium","0","3","Outcome–demand consistency: high emissions supports High and hinders Low industrial demand; net-zero aligned hinders High and supports Low; Medium outcome aligns with Medium and weakly supports Low; confidences highest on diagonal and strong anti-consistency (3.1, 1.3)."
"Decarbonisation_Outcome","Industrial_Energy_Demand","Net-zero aligned","Low","2","4","Outcome–demand consistency: high emissions supports High and hinders Low industrial demand; net-zero aligned hinders High and supports Low; Medium outcome aligns with Medium and weakly supports Low; confidences highest on diagonal and strong anti-consistency (3.1, 1.3)."
"Decarbonisation_Outcome","Fossil_Price_Pressure","High emissions","Low","-2","4","Germany's decarbonisation outcome influences EU/global fossil price pressure via demand: high emissions support high pressure and hinder low (scores ±2, conf 4); net-zero aligned supports low and hinders high (scores ±2, conf 4); medium outcome and off-diagonal cells scored 0 or +1 with conf 3; Germany is one driver among many so no score ±3 or confidence 5."
"Decarbonisation_Outcome","Fossil_Price_Pressure","High emissions","Medium","0","3","Germany's decarbonisation outcome influences EU/global fossil price pressure via demand: high emissions support high pressure and hinder low (scores ±2, conf 4); net-zero aligned supports low and hinders high (scores ±2, conf 4); medium outcome and off-diagonal cells scored 0 or +1 with conf 3; Germany is one driver among many so no score ±3 or confidence 5."
"Decarbonisation_Outcome","Fossil_Price_Pressure","High emissions","High","2","4","Germany's decarbonisation outcome influences EU/global fossil price pressure via demand: high emissions support high pressure and hinder low (scores ±2, conf 4); net-zero aligned supports low and hinders high (scores ±2, conf 4); medium outcome and off-diagonal cells scored 0 or +1 with conf 3; Germany is one driver among many so no score ±3 or confidence 5."
"Decarbonisation_Outcome","Fossil_Price_Pressure","Medium","Low","0","3","Germany's decarbonisation outcome influences EU/global fossil price pressure via demand: high emissions support high pressure and hinder low (scores ±2, conf 4); net-zero aligned supports low and hinders high (scores ±2, conf 4); medium outcome and off-diagonal cells scored 0 or +1 with conf 3; Germany is one driver among many so no score ±3 or confidence 5."
"Decarbonisation_Outcome","Fossil_Price_Pressure","Medium","Medium","1","3","Germany's decarbonisation outcome influences EU/global fossil price pressure via demand: high emissions support high pressure and hinder low (scores ±2, conf 4); net-zero aligned supports low and hinders high (scores ±2, conf 4); medium outcome and off-diagonal cells scored 0 or +1 with conf 3; Germany is one driver among many so no score ±3 or confidence 5."
"Decarbonisation_Outcome","Fossil_Price_Pressure","Medium","High","1","3","Germany's decarbonisation outcome influences EU/global fossil price pressure via demand: high emissions support high pressure and hinder low (scores ±2, conf 4); net-zero aligned supports low and hinders high (scores ±2, conf 4); medium outcome and off-diagonal cells scored 0 or +1 with conf 3; Germany is one driver among many so no score ±3 or confidence 5."
"Decarbonisation_Outcome","Fossil_Price_Pressure","Net-zero aligned","Low","2","4","Germany's decarbonisation outcome influences EU/global fossil price pressure via demand: high emissions support high pressure and hinder low (scores ±2, conf 4); net-zero aligned supports low and hinders high (scores ±2, conf 4); medium outcome and off-diagonal cells scored 0 or +1 with conf 3; Germany is one driver among many so no score ±3 or confidence 5."
"Decarbonisation_Outcome","Fossil_Price_Pressure","Net-zero aligned","Medium","0","3","Germany's decarbonisation outcome influences EU/global fossil price pressure via demand: high emissions support high pressure and hinder low (scores ±2, conf 4); net-zero aligned supports low and hinders high (scores ±2, conf 4); medium outcome and off-diagonal cells scored 0 or +1 with conf 3; Germany is one driver among many so no score ±3 or confidence 5."
"Decarbonisation_Outcome","Fossil_Price_Pressure","Net-zero aligned","High","-2","4","Germany's decarbonisation outcome influences EU/global fossil price pressure via demand: high emissions support high pressure and hinder low (scores ±2, conf 4); net-zero aligned supports low and hinders high (scores ±2, conf 4); medium outcome and off-diagonal cells scored 0 or +1 with conf 3; Germany is one driver among many so no score ±3 or confidence 5."
"Decarbonisation_Outcome","Public_Acceptance","High emissions","Low","2","4","Outcome–acceptance alignment: high emissions promote low and hinder high acceptance; net-zero aligned hinders low and promotes high; medium outcome supports medium acceptance; off-diagonal weak cells set to 0 with confidence 2."
"Decarbonisation_Outcome","Public_Acceptance","High emissions","Medium","0","2","Outcome–acceptance alignment: high emissions promote low and hinder high acceptance; net-zero aligned hinders low and promotes high; medium outcome supports medium acceptance; off-diagonal weak cells set to 0 with confidence 2."
"Decarbonisation_Outcome","Public_Acceptance","High emissions","High","-2","4","Outcome–acceptance alignment: high emissions promote low and hinder high acceptance; net-zero aligned hinders low and promotes high; medium outcome supports medium acceptance; off-diagonal weak cells set to 0 with confidence 2."
"Decarbonisation_Outcome","Public_Acceptance","Medium","Low","0","2","Outcome–acceptance alignment: high emissions promote low and hinder high acceptance; net-zero aligned hinders low and promotes high; medium outcome supports medium acceptance; off-diagonal weak cells set to 0 with confidence 2."
"Decarbonisation_Outcome","Public_Acceptance","Medium","Medium","1","3","Outcome–acceptance alignment: high emissions promote low and hinder high acceptance; net-zero aligned hinders low and promotes high; medium outcome supports medium acceptance; off-diagonal weak cells set to 0 with confidence 2."
"Decarbonisation_Outcome","Public_Acceptance","Medium","High","-1","3","Outcome–acceptance alignment: high emissions promote low and hinder high acceptance; net-zero aligned hinders low and promotes high; medium outcome supports medium acceptance; off-diagonal weak cells set to 0 with confidence 2."
"Decarbonisation_Outcome","Public_Acceptance","Net-zero aligned","Low","-2","4","Outcome–acceptance alignment: high emissions promote low and hinder high acceptance; net-zero aligned hinders low and promotes high; medium outcome supports medium acceptance; off-diagonal weak cells set to 0 with confidence 2."
"Decarbonisation_Outcome","Public_Acceptance","Net-zero aligned","Medium","1","3","Outcome–acceptance alignment: high emissions promote low and hinder high acceptance; net-zero aligned hinders low and promotes high; medium outcome supports medium acceptance; off-diagonal weak cells set to 0 with confidence 2."
"Decarbonisation_Outcome","Public_Acceptance","Net-zero aligned","High","2","4","Outcome–acceptance alignment: high emissions promote low and hinder high acceptance; net-zero aligned hinders low and promotes high; medium outcome supports medium acceptance; off-diagonal weak cells set to 0 with confidence 2."
"Decarbonisation_Outcome","Land_Use_Conflict","High emissions","High","-2","4","Decarbonisation outcome influences land-use conflict via implied deployment: high emissions imply less renewables/infrastructure build-out and lower land pressure (supports Low conflict, hinders High); net-zero aligned implies large deployment and supports High conflict, hinders Low; medium outcome supports Medium conflict; panel agreed on variant-level scores and confidences 3–4."
"Decarbonisation_Outcome","Land_Use_Conflict","High emissions","Medium","0","3","Decarbonisation outcome influences land-use conflict via implied deployment: high emissions imply less renewables/infrastructure build-out and lower land pressure (supports Low conflict, hinders High); net-zero aligned implies large deployment and supports High conflict, hinders Low; medium outcome supports Medium conflict; panel agreed on variant-level scores and confidences 3–4."
"Decarbonisation_Outcome","Land_Use_Conflict","High emissions","Low","2","4","Decarbonisation outcome influences land-use conflict via implied deployment: high emissions imply less renewables/infrastructure build-out and lower land pressure (supports Low conflict, hinders High); net-zero aligned implies large deployment and supports High conflict, hinders Low; medium outcome supports Medium conflict; panel agreed on variant-level scores and confidences 3–4."
"Decarbonisation_Outcome","Land_Use_Conflict","Medium","High","0","3","Decarbonisation outcome influences land-use conflict via implied deployment: high emissions imply less renewables/infrastructure build-out and lower land pressure (supports Low conflict, hinders High); net-zero aligned implies large deployment and supports High conflict, hinders Low; medium outcome supports Medium conflict; panel agreed on variant-level scores and confidences 3–4."
"Decarbonisation_Outcome","Land_Use_Conflict","Medium","Medium","1","4","Decarbonisation outcome influences land-use conflict via implied deployment: high emissions imply less renewables/infrastructure build-out and lower land pressure (supports Low conflict, hinders High); net-zero aligned implies large deployment and supports High conflict, hinders Low; medium outcome supports Medium conflict; panel agreed on variant-level scores and confidences 3–4."
"Decarbonisation_Outcome","Land_Use_Conflict","Medium","Low","0","3","Decarbonisation outcome influences land-use conflict via implied deployment: high emissions imply less renewables/infrastructure build-out and lower land pressure (supports Low conflict, hinders High); net-zero aligned implies large deployment and supports High conflict, hinders Low; medium outcome supports Medium conflict; panel agreed on variant-level scores and confidences 3–4."
"Decarbonisation_Outcome","Land_Use_Conflict","Net-zero aligned","High","2","4","Decarbonisation outcome influences land-use conflict via implied deployment: high emissions imply less renewables/infrastructure build-out and lower land pressure (supports Low conflict, hinders High); net-zero aligned implies large deployment and supports High conflict, hinders Low; medium outcome supports Medium conflict; panel agreed on variant-level scores and confidences 3–4."
"Decarbonisation_Outcome","Land_Use_Conflict","Net-zero aligned","Medium","1","3","Decarbonisation outcome influences land-use conflict via implied deployment: high emissions imply less renewables/infrastructure build-out and lower land pressure (supports Low conflict, hinders High); net-zero aligned implies large deployment and supports High conflict, hinders Low; medium outcome supports Medium conflict; panel agreed on variant-level scores and confidences 3–4."
